	One_digit_id	Chain_pdbff	Number_of_residues	UA_Active_site	UA_Binding_site	UA_Cross-link	UA_DNA_binding	UA_Glycosylation	UA_Intramembrane	UA_Lipidation	UA_Natural_variant	UA_Repeat	UA_Site	UA_Transmembrane	UA_Zinc_finger	Helices[G,H,I]	HelicesPercent[G,H,I]	Strands[E,B]	StrandsPercent[E,B]	Loops[E,B]	LoopsPercent[E,B]	pH_pHcrystal	⟨Z⟩_Complex_pH7	⟨Z⟩_Monomer_pH7	⟨Z⟩_Complex_pHcrystal	⟨Z⟩_Monomer_pHcrystal	⟨Z²⟩-⟨Z⟩²_Complex_pH7	⟨Z²⟩-⟨Z⟩²_Monomer_pH7	⟨Z²⟩-⟨Z⟩²_Complex_pHcrystal	⟨Z²⟩-⟨Z⟩²_Monomer_pHcrystal	⟨μ⟩_Complex_pH7	⟨μ⟩_Monomer_pH7	⟨μ⟩_Complex_pHcrystal	⟨μ⟩_Monomer_pHcrystal	⟨μ²⟩-⟨μ⟩²_Complex_pH7	⟨μ²⟩-⟨μ⟩²_Monomer_pH7	⟨μ²⟩-⟨μ⟩²_Complex_pHcrystal	⟨μ²⟩-⟨μ⟩²_Monomer_pHcrystal	SASA_Complex	SASA_Monomer	SASA_interface	Number_of_glycans	Number_of_modelled_residues
12368	8yw8_0	A	126	0	0	0	0	0	0	0	0	0	0	59	0	103	0.82	0	0.0	15	0.12	7.4	11.72	10.73	11.47	10.54	0.57	0.51	0.47	0.42	170.44	41.23	168.46	39.86	268.84	295.32	153.08	298.4	8504.3	9216.4	712.1	0	0
12369	8yw8_0	B	114	0	0	0	0	0	0	0	0	0	0	0	0	9	0.08	57	0.5	22	0.19	7.4	11.72	0.98	11.47	0.92	0.57	0.03	0.47	0.08	170.44	15.31	168.46	15.49	268.84	1.24	153.08	2.95	5488.9	6187.5	698.6	0	0
12370	8yw9_0	A	94	0	0	0	0	0	0	0	3	0	0	40	0	79	0.84	0	0.0	8	0.09	6.8	6.17	4.17	6.46	4.41	0.83	0.71	0.91	0.82	64.89	37.33	67.22	37.59	114.29	30.18	144.97	38.61	6464.2	6915.3	451.1	0	0
12371	8yw9_0	B	127	0	0	0	0	0	0	0	0	0	0	0	0	3	0.02	68	0.54	28	0.22	6.8	6.17	2.01	6.46	2.07	0.83	0.13	0.92	0.14	64.89	53.7	67.22	53.87	114.29	5.04	144.97	5.47	6230.2	6650.2	420.0	0	0
12372	8yw9_1	A	123	0	0	0	0	0	0	0	0	0	0	59	0	93	0.76	0	0.0	21	0.17	6.8	11.76	10.76	11.92	10.89	0.61	0.55	0.73	0.64	174.56	48.61	176.45	49.62	257.48	307.82	336.5	321.69	8506.3	9198.1	691.8	0	0
12373	8yw9_1	B	114	0	0	0	0	0	0	0	0	0	0	0	0	9	0.08	57	0.5	23	0.2	6.8	11.76	0.98	11.92	0.99	0.61	0.03	0.73	0.03	174.56	15.43	176.45	15.42	257.48	1.19	336.5	1.26	5515.4	6164.0	648.6	0	0
12374	8ywe_0	A	199	0	0	0	0	0	0	0	0	0	0	0	0	19	0.1	55	0.28	59	0.3	8.0	3.35	8.08	1.41	6.95	1.61	0.85	1.47	0.94	248.92	124.18	233.94	121.82	293.74	322.92	423.68	344.17	10545.7	11206.5	660.8	0	0
12375	8ywe_0	B	235	0	0	0	0	0	0	0	0	0	0	0	0	9	0.04	117	0.5	59	0.25	8.0	3.35	-4.81	1.41	-5.62	1.61	0.75	1.47	0.6	248.92	43.76	233.94	50.3	293.74	75.24	423.68	51.68	10489.2	11155.6	666.4	0	0
12376	8ywe_1	A	199	0	0	0	0	0	0	0	0	0	0	0	0	19	0.1	55	0.28	59	0.3	8.0	11.04	8.08	9.26	6.95	0.95	0.85	1.49	0.94	131.08	124.18	126.22	121.82	190.5	322.92	105.52	344.17	10226.2	11206.5	980.3	0	0
12377	8ywe_1	B	247	0	0	0	0	0	0	0	0	0	0	0	0	17	0.07	110	0.45	61	0.25	8.0	11.04	2.97	9.26	2.51	0.95	0.09	1.49	0.45	131.08	102.63	126.22	102.66	190.5	8.52	105.52	37.06	10992.5	11987.2	994.7	0	0
12378	8ywq_0	A	149	0	0	0	0	0	0	0	1	0	0	0	0	112	0.75	2	0.01	10	0.07	8.5	8.62	0.19	5.36	-0.34	1.79	0.7	2.95	0.83	241.72	221.7	241.31	219.38	674.68	497.74	861.46	608.64	15365.9	15875.1	509.2	0	1
12379	8ywq_0	B	438	0	0	0	0	0	0	0	0	0	0	0	0	26	0.06	215	0.49	97	0.22	8.5	8.62	8.48	5.36	5.64	1.79	1.11	2.95	2.31	241.72	60.24	241.32	70.23	674.68	288.74	861.46	636.01	19364.1	19860.0	495.9	0	7
12380	8ywr_0	A	147	0	0	0	0	1	0	0	1	0	0	0	0	109	0.74	0	0.0	22	0.15	5.5	4.51	0.72	11.29	2.48	2.36	0.46	3.64	1.4	132.92	73.43	173.15	79.39	1449.15	451.41	2651.9	597.09	12695.7	13320.0	624.3	0	11
12381	8ywr_0	B	432	0	0	0	0	0	0	0	0	0	0	0	0	28	0.06	219	0.51	92	0.21	5.5	4.51	3.8	11.29	8.91	2.36	1.84	3.64	2.46	132.92	64.32	173.15	87.29	1449.15	410.84	2651.9	637.54	19003.9	19573.4	569.5	0	4
12382	8yww_1	A	1047	0	0	0	0	20	0	0	84	0	2	0	0	215	0.21	313	0.3	224	0.21	8.0	11.07	4.44	5.76	0.55	3.92	2.92	3.57	2.62	899.07	559.05	912.05	556.16	20051.7	6497.57	17327.3	7416.31	60133.0	61075.3	942.3	0	23
12383	8yww_1	B	430	0	0	0	0	0	0	0	0	0	0	0	0	23	0.05	172	0.4	91	0.21	8.0	11.07	6.57	5.76	5.3	3.92	1.2	3.57	1.12	899.07	78.81	912.05	78.66	20051.7	149.72	17327.3	121.29	19908.8	20849.3	940.5	0	0
12384	8ywx_0	A	193	0	0	0	0	1	0	0	28	0	0	0	0	20	0.1	48	0.25	59	0.31	7.4	11.25	4.72	10.43	4.44	1.82	0.57	1.56	0.55	107.58	143.72	106.19	144.35	736.66	196.69	687.05	177.33	9347.3	10289.7	942.4	0	0
12385	8ywx_0	B	430	0	0	0	0	0	0	0	0	0	0	0	0	23	0.05	172	0.4	91	0.21	7.4	11.25	6.57	10.43	5.99	1.82	1.2	1.56	0.96	107.58	79.03	106.19	78.58	736.66	149.75	687.05	96.58	19898.2	20838.6	940.4	0	0
12386	8yx1_1	A	162	0	0	0	0	2	0	0	6	120	0	0	0	6	0.04	55	0.34	42	0.26	7.0	-0.23	-8.72	-0.23	-8.72	2.65	1.42	2.65	1.42	327.8	47.1	327.8	47.1	1712.78	225.51	1712.78	225.51	10438.7	11209.9	771.2	0	2
12387	8yx1_1	B	432	0	0	0	0	0	0	0	0	0	0	0	0	30	0.07	224	0.52	84	0.19	7.0	-0.23	8.57	-0.23	8.57	2.65	1.11	2.65	1.11	327.8	76.3	327.8	76.3	1712.78	203.92	1712.78	203.92	18364.9	19125.4	760.5	0	5
12388	8yxi_0	A	321	0	0	0	0	0	0	0	0	0	0	0	0	71	0.22	91	0.28	76	0.24	7.0	1.77	-1.04	1.77	-1.04	2.81	1.42	2.81	1.42	149.59	151.98	149.59	151.98	1209.18	423.01	1209.18	423.01	13447.2	14219.6	772.4	0	0
12389	8yxi_0	B	434	0	0	0	0	0	0	0	0	0	0	0	0	31	0.07	232	0.53	83	0.19	7.0	1.77	2.92	1.77	2.92	2.81	1.35	2.81	1.35	149.59	58.21	149.59	58.21	1209.18	268.93	1209.18	268.93	18313.0	19069.9	756.9	0	4
12390	8yy8_0	A	579	0	20	1	0	0	0	0	31	295	0	0	0	134	0.23	205	0.35	135	0.23	7.5	6.36	2.46	4.67	0.77	3.48	3.12	2.67	2.06	296.63	360.01	287.57	359.04	1497.67	995.64	1364.42	894.89	26600.3	27966.0	1365.7	0	8
12391	8yy8_0	B	126	0	0	0	0	0	0	0	0	0	0	0	0	6	0.05	55	0.44	31	0.25	7.5	6.36	3.95	4.67	3.88	3.48	0.56	2.67	0.61	296.63	31.59	287.57	31.65	1497.67	27.49	1364.42	29.0	5026.7	6366.0	1339.3	0	0
12392	8yyw_0	A	564	0	0	0	0	0	0	0	0	0	0	0	0	114	0.2	192	0.34	144	0.26	7.4	-9.47	-9.9	-11.5	-11.6	4.11	3.27	3.21	2.35	545.23	378.86	558.88	382.86	2619.24	1404.2	2121.51	1187.76	27058.2	28030.8	972.6	0	0
12393	8yyw_0	B	232	0	0	0	0	0	0	0	0	0	0	0	0	9	0.04	113	0.49	53	0.23	7.4	-9.47	0.44	-11.5	0.12	4.11	0.93	3.21	0.82	545.23	96.88	558.88	95.64	2619.24	167.73	2121.51	161.95	10643.8	11489.1	845.3	0	0
12394	8yyz_0	A	150	0	0	0	0	0	0	0	0	0	0	0	0	41	0.27	31	0.21	38	0.25	7.0	-0.38	0.02	-0.38	0.02	3.45	1.39	3.45	1.39	131.15	88.1	131.15	88.1	2394.69	155.92	2394.69	155.92	6520.1	7286.7	766.6	0	0
12395	8yyz_0	B	430	0	0	0	0	0	0	0	0	0	0	0	0	30	0.07	219	0.51	88	0.2	7.0	-0.38	-0.72	-0.38	-0.72	3.45	1.96	3.45	1.96	131.15	186.5	131.15	186.5	2394.69	1299.42	2394.69	1299.42	18422.9	19167.8	744.9	0	3
12396	8yz5_1	A	2155	0	0	0	0	45	0	0	198	0	8	0	0	413	0.19	564	0.26	489	0.23	7.5	9.77	11.63	5.63	7.71	6.31	5.37	4.69	3.74	546.32	731.22	601.5	770.99	14476.4	11890.2	12347.4	9408.75	111730.3	113499.6	1769.3	0	86
12397	8yz5_1	B	225	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	81	0.36	56	0.25	7.5	9.77	-1.93	5.63	-2.06	6.31	0.64	4.69	0.64	546.32	117.75	601.5	116.57	14476.4	165.44	12347.4	150.84	10315.9	12159.2	1843.3	0	0
12398	8yz6_0	A	1016	0	0	0	0	0	0	0	0	0	0	0	0	212	0.21	271	0.27	215	0.21	7.5	7.42	8.26	5.28	6.31	2.96	2.53	2.05	1.94	238.4	408.4	268.12	423.01	3099.3	3313.97	3287.0	3390.44	59249.8	59926.2	676.4	5	32
12399	8yz6_0	B	228	0	0	0	0	0	0	0	0	0	0	0	0	9	0.04	116	0.51	48	0.21	7.5	7.42	-1.0	5.28	-1.09	2.96	0.07	2.05	0.12	238.4	27.89	268.12	27.68	3099.3	5.95	3287.0	11.26	9579.0	10384.7	805.7	0	0
12400	8yzk_0	A	264	0	0	0	0	0	0	0	1	0	0	147	0	195	0.74	0	0.0	40	0.15	7.5	-0.97	-1.71	-1.5	-1.93	0.81	0.28	0.64	0.15	278.27	205.69	278.13	203.09	522.41	74.13	375.14	40.62	12795.2	13803.4	1008.2	0	0
12401	8yzk_0	B	169	0	0	0	0	0	0	0	0	0	0	0	0	6	0.04	66	0.39	37	0.22	7.5	-0.97	0.69	-1.5	0.4	0.81	0.54	0.64	0.49	278.27	129.59	278.13	128.8	522.41	14.14	375.14	13.03	11327.9	12362.7	1034.8	0	0
12402	8z2e_0	A	195	0	0	0	0	0	0	0	0	0	0	0	0	36	0.18	58	0.3	39	0.2	7.0	7.13	2.14	7.13	2.14	2.23	0.71	2.23	0.71	68.89	36.82	68.89	36.82	888.86	210.75	888.86	210.75	9220.6	10208.7	988.1	1	0
12403	8z2e_0	B	430	0	0	0	0	0	0	0	0	0	0	0	0	39	0.09	219	0.51	74	0.17	7.0	7.13	5.08	7.13	5.08	2.23	1.47	2.23	1.47	68.89	63.8	68.89	63.8	888.86	271.32	888.86	271.32	18760.0	19719.5	959.5	0	4
12404	8z2e_1	A	195	0	0	0	0	0	0	0	0	0	0	0	0	36	0.18	58	0.3	39	0.2	7.0	3.12	2.14	3.12	2.14	0.76	0.71	0.76	0.71	33.24	36.61	33.24	36.61	155.95	207.01	155.95	207.01	9555.3	10203.7	648.4	1	0
12405	8z2e_1	B	116	0	0	0	0	0	0	0	0	0	0	0	0	6	0.05	65	0.56	22	0.19	7.0	3.12	0.99	3.12	0.99	0.76	0.04	0.76	0.04	33.24	11.68	33.24	11.68	155.95	2.01	155.95	2.01	5644.4	6382.3	737.9	0	0
12406	8z2v_0	A	150	0	0	0	0	0	0	0	0	0	0	0	0	42	0.28	31	0.21	40	0.27	7.0	-0.35	-0.05	-0.35	-0.05	3.47	1.43	3.47	1.43	138.43	84.64	138.43	84.64	2483.34	151.15	2483.34	151.15	6461.7	7328.7	867.0	0	0
12407	8z2v_0	B	430	0	0	0	0	0	0	0	0	0	0	0	0	32	0.07	218	0.51	85	0.2	7.0	-0.35	-0.73	-0.35	-0.73	3.47	1.95	3.47	1.95	138.43	188.66	138.43	188.66	2483.34	1308.59	2483.34	1308.59	18663.2	19508.3	845.1	0	6
12408	8z39_0	A	151	0	0	0	0	0	0	0	0	0	0	0	0	41	0.27	31	0.21	41	0.27	7.0	-0.99	-0.84	-0.99	-0.84	3.24	1.43	3.24	1.43	159.15	89.53	159.15	89.53	1807.65	154.27	1807.65	154.27	6586.1	7462.1	876.0	0	0
12409	8z39_0	B	432	0	0	0	0	0	0	0	0	0	0	0	0	33	0.08	218	0.5	84	0.19	7.0	-0.99	-0.25	-0.99	-0.25	3.24	1.82	3.24	1.82	159.15	167.32	159.15	167.32	1807.65	741.87	1807.65	741.87	18392.7	19283.6	890.9	0	5
12410	8z3a_0	A	150	0	0	0	0	0	0	0	0	0	0	0	0	42	0.28	31	0.21	39	0.26	7.0	0.35	0.0	0.35	0.0	3.37	1.32	3.37	1.32	120.96	88.3	120.96	88.3	2126.16	150.57	2126.16	150.57	6560.6	7389.1	828.5	0	0
12411	8z3a_0	B	430	0	0	0	0	0	0	0	0	0	0	0	0	31	0.07	220	0.51	89	0.21	7.0	0.35	0.26	0.35	0.26	3.37	2.12	3.37	2.12	120.96	158.06	120.96	158.06	2126.16	1192.46	2126.16	1192.46	18421.8	19258.6	836.8	0	6
12412	8z3m_0	A	574	0	0	0	0	0	0	0	0	0	0	0	0	133	0.23	198	0.34	136	0.24	6.5	0.38	-0.25	3.66	2.37	3.74	2.52	4.97	3.61	370.03	317.44	361.83	319.56	1000.2	664.58	1107.58	778.18	26733.3	27778.7	1045.4	0	0
12413	8z3m_0	B	230	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	109	0.47	55	0.24	6.5	0.38	0.43	3.66	1.1	3.74	0.96	4.97	1.23	370.03	86.37	361.83	89.39	1000.2	172.67	1107.58	198.75	11230.0	12132.0	902.0	0	0
12414	8z3q_0	A	576	0	0	0	0	0	0	0	0	0	0	0	0	128	0.22	202	0.35	142	0.25	7.6	1.25	-0.14	-1.05	-1.99	3.48	2.7	2.57	1.68	392.48	318.37	398.79	317.35	1318.88	754.0	939.68	634.44	28869.6	29877.1	1007.5	0	0
12415	8z3q_0	B	232	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	109	0.47	54	0.23	7.6	1.25	1.28	-1.05	0.79	3.48	0.92	2.57	0.79	392.48	74.34	398.79	72.5	1318.88	115.35	939.68	106.18	11465.3	12313.6	848.3	0	0
12416	8z3y_0	A	575	0	0	0	0	0	0	0	0	0	0	0	0	128	0.22	205	0.36	138	0.24	6.8	0.51	-0.08	1.68	1.01	3.56	2.73	3.96	3.26	374.5	320.99	373.57	321.63	1038.32	752.1	1120.24	806.7	28905.0	29858.8	953.8	0	0
12417	8z3y_0	B	230	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	108	0.47	53	0.23	6.8	0.51	0.44	1.68	0.67	3.56	0.97	3.96	1.08	374.5	93.54	373.57	94.8	1038.32	182.76	1120.24	194.64	11859.2	12719.2	860.0	0	1
12418	8z4e_0	A	349	1	8	0	0	0	0	0	0	0	0	0	0	7	0.02	149	0.43	81	0.23	7.5	2.93	1.27	1.53	0.09	3.08	2.11	2.32	1.49	163.2	153.64	148.19	146.05	821.79	420.0	486.56	215.43	17975.4	18811.6	836.2	1	10
12419	8z4e_0	B	242	0	0	0	0	0	0	0	0	0	0	0	0	8	0.03	106	0.44	57	0.24	7.5	2.93	1.62	1.53	1.4	3.08	1.0	2.32	0.99	163.2	30.38	148.19	30.36	821.79	48.89	486.56	50.67	10739.4	11623.3	883.9	0	0
12420	8z4e_1	A	349	1	8	0	0	0	0	0	0	0	0	0	0	3	0.01	149	0.43	84	0.24	7.5	3.53	1.16	2.08	0.04	2.98	2.08	2.17	1.46	180.19	149.58	184.54	143.09	1892.19	379.97	1825.97	187.2	17767.2	18749.3	982.1	1	10
12421	8z4e_1	B	240	0	0	0	0	0	0	0	0	0	0	0	0	9	0.04	111	0.46	56	0.23	7.5	3.53	2.39	2.08	2.05	2.98	0.84	2.17	0.72	180.19	92.94	184.54	94.52	1892.19	104.33	1825.97	92.02	10817.4	11879.4	1062.0	0	0
12422	8z65_0	A	572	0	0	0	0	0	0	0	0	0	0	0	0	128	0.22	199	0.35	140	0.24	7.2	2.67	1.37	1.71	0.61	3.89	2.86	3.27	2.46	311.36	257.86	313.14	257.26	1655.17	950.86	1559.24	911.04	27130.4	28120.1	989.7	0	0
12423	8z65_0	B	232	0	0	0	0	0	0	0	0	0	0	0	0	12	0.05	103	0.44	52	0.22	7.2	2.67	1.28	1.71	1.09	3.89	0.91	3.27	0.86	311.36	73.02	313.14	72.3	1655.17	112.8	1559.24	106.72	11125.8	11990.5	864.7	0	0
12424	8z68_0	A	575	0	0	0	0	0	0	0	0	0	0	0	0	131	0.23	205	0.36	142	0.25	6.8	0.42	-0.17	1.54	0.82	3.52	2.65	3.92	3.14	366.11	312.65	365.65	313.57	955.39	698.61	1039.2	755.29	26686.5	27710.9	1024.4	0	1
12425	8z68_0	B	230	0	0	0	0	0	0	0	0	0	0	0	0	9	0.04	111	0.48	53	0.23	6.8	0.42	0.42	1.54	0.65	3.52	0.97	3.92	1.05	366.11	89.25	365.65	90.42	955.39	170.88	1039.2	180.76	10697.4	11573.1	875.7	0	1
12426	8z6q_2	A	1113	0	0	0	0	0	0	0	0	0	0	0	0	217	0.19	312	0.28	251	0.23	8.0	14.06	6.53	8.6	2.42	4.74	3.06	4.12	2.47	919.39	477.86	931.82	495.14	18444.5	6433.14	14183.2	5008.37	58474.1	59432.6	958.5	0	62
12427	8z6q_2	B	419	0	0	0	0	0	0	0	0	0	0	0	0	26	0.06	177	0.42	90	0.21	8.0	14.06	7.59	8.6	6.24	4.74	1.69	4.12	1.65	919.39	117.68	931.82	114.33	18444.5	551.01	14183.2	589.51	19938.9	20837.7	898.8	0	25
12428	8z6r_2	A	1113	0	0	0	0	0	0	0	0	0	0	0	0	217	0.19	322	0.29	250	0.22	8.0	14.1	6.54	8.65	2.46	4.67	3.03	4.13	2.45	874.79	436.11	888.44	452.74	18493.6	5862.65	14367.8	4912.2	57633.3	58591.0	957.7	0	62
12429	8z6r_2	B	419	0	0	0	0	0	0	0	0	0	0	0	0	26	0.06	178	0.42	94	0.22	8.0	14.1	7.57	8.65	6.23	4.67	1.64	4.13	1.65	874.79	120.82	888.44	117.89	18493.6	533.73	14367.8	586.85	19825.8	20725.7	899.9	0	25
12430	8z6s_0	A	1130	0	0	0	0	0	0	0	0	0	0	0	0	253	0.22	353	0.31	245	0.22	8.0	13.41	5.83	7.88	1.65	4.78	3.09	4.24	2.67	968.9	497.66	994.54	525.9	22446.4	9406.33	17495.9	6700.04	58590.9	59523.3	932.4	0	11
12431	8z6s_0	B	419	0	0	0	0	0	0	0	0	0	0	0	0	23	0.05	184	0.44	93	0.22	8.0	13.41	7.56	7.88	6.23	4.78	1.66	4.24	1.65	968.9	127.66	994.54	124.89	22446.4	515.94	17495.9	563.07	18912.4	19808.2	895.8	0	23
12432	8z6t_0	A	196	0	0	0	0	0	0	0	0	0	0	0	0	18	0.09	52	0.27	60	0.31	8.0	13.62	6.01	11.11	4.91	2.44	0.77	2.52	0.96	110.85	92.35	119.23	93.12	1285.11	238.63	1173.63	236.23	9389.5	10317.7	928.2	0	0
12433	8z6t_0	B	419	0	0	0	0	0	0	0	0	0	0	0	0	29	0.07	186	0.44	90	0.21	8.0	13.62	7.58	11.11	6.23	2.44	1.7	2.52	1.66	110.85	124.31	119.23	121.2	1285.11	521.49	1173.63	560.88	19158.1	20040.5	882.4	0	26
12434	8z6u_1	A	1119	0	0	0	0	22	0	0	95	0	4	0	0	220	0.2	295	0.26	258	0.23	8.0	10.67	3.94	4.77	-0.47	4.91	3.07	4.16	2.6	764.95	367.28	775.16	372.93	17902.6	4836.63	15369.1	4791.25	56585.5	57439.0	853.5	0	32
12435	8z6u_1	B	421	0	0	0	0	0	0	0	0	0	0	0	0	18	0.04	183	0.43	96	0.23	8.0	10.67	6.82	4.77	5.42	4.91	1.82	4.16	1.68	764.95	98.99	775.16	98.67	17902.6	501.33	15369.1	504.02	19789.6	20599.4	809.8	0	0
12436	8z6w_1	A	1119	0	0	0	0	22	0	0	95	0	4	0	0	225	0.2	300	0.27	257	0.23	8.0	10.52	3.81	4.73	-0.49	4.72	3.02	4.13	2.59	764.54	361.19	771.19	366.58	17760.2	4761.06	15384.7	4788.59	56219.0	57088.6	869.6	0	32
12437	8z6w_1	B	421	0	0	0	0	0	0	0	0	0	0	0	0	18	0.04	182	0.43	97	0.23	8.0	10.52	6.82	4.73	5.42	4.72	1.81	4.13	1.68	764.54	99.54	771.19	99.27	17760.2	510.76	15384.7	510.45	19667.5	20479.6	812.1	0	0
12438	8z6x_0	A	196	0	0	0	0	0	0	0	0	0	0	0	0	23	0.12	46	0.23	56	0.29	8.0	12.8	6.06	10.12	4.87	2.58	0.82	2.86	0.94	94.93	93.85	98.21	96.05	685.69	273.85	691.19	244.98	9520.6	10397.1	876.5	0	0
12439	8z6x_0	B	422	0	0	0	0	0	0	0	0	0	0	0	0	22	0.05	187	0.44	96	0.23	8.0	12.8	6.86	10.12	5.4	2.58	1.84	2.86	1.71	94.93	99.57	98.21	99.67	685.69	531.54	691.19	549.75	19228.6	20040.3	811.7	0	0
12440	8z74_0	A	295	0	0	0	0	1	0	0	1	0	2	162	0	242	0.82	8	0.03	22	0.07	7.4	11.64	9.04	11.25	8.73	0.92	0.62	0.79	0.49	500.03	414.31	500.36	416.41	277.7	236.74	244.89	181.96	14353.2	15621.1	1267.9	0	0
12441	8z74_0	B	130	0	0	0	0	0	0	0	0	0	0	0	0	9	0.07	50	0.38	30	0.23	7.4	11.64	2.55	11.25	2.46	0.92	0.36	0.79	0.36	500.03	52.05	500.36	51.32	277.7	25.48	244.89	25.59	5503.1	6900.5	1397.4	0	0
12442	8z7j_0	A	565	0	16	0	0	0	0	1	30	295	0	0	0	136	0.24	200	0.35	130	0.23	7.4	-8.98	-9.6	-10.94	-11.12	3.34	3.02	2.38	2.16	496.13	333.49	509.23	337.35	1955.42	886.01	1529.03	711.03	24784.1	25898.1	1114.0	0	0
12443	8z7j_0	B	234	0	0	0	0	0	0	0	0	0	0	0	0	12	0.05	102	0.44	48	0.21	7.4	-8.98	0.44	-10.94	0.09	3.34	0.44	2.38	0.3	496.13	80.39	509.23	79.12	1955.42	25.49	1529.03	15.54	10762.2	11704.2	942.0	0	0
12444	8z7j_1	A	303	0	0	0	0	1	0	0	1	0	2	162	0	234	0.77	4	0.01	33	0.11	7.4	11.44	8.82	10.92	8.45	1.11	0.66	0.99	0.62	516.04	438.91	517.76	443.06	560.5	306.19	530.02	297.94	14184.6	15904.5	1719.9	0	0
12445	8z7j_1	B	130	0	0	0	0	0	0	0	0	0	0	0	0	6	0.05	55	0.42	33	0.25	7.4	11.44	2.55	10.92	2.46	1.11	0.36	0.99	0.36	516.04	54.35	517.76	53.56	560.5	18.45	530.02	20.57	5086.3	6849.2	1762.9	0	0
12446	8z86_0	A	193	0	0	0	0	1	0	0	28	0	0	0	0	15	0.08	30	0.16	60	0.31	8.0	5.6	6.05	3.93	4.62	1.43	0.44	1.96	0.93	88.09	111.52	74.18	116.51	565.11	118.28	441.77	167.08	9211.7	10319.2	1107.5	0	0
12447	8z86_0	B	222	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	84	0.38	46	0.21	8.0	5.6	-0.38	3.93	-0.76	1.43	0.89	1.96	1.0	88.09	78.59	74.18	75.75	565.11	220.4	441.77	222.21	9658.2	10763.6	1105.4	0	0
12448	8z8l_0	A	197	0	0	0	0	0	0	0	0	0	0	0	0	4	0.02	87	0.44	52	0.26	6.0	0.22	-2.2	3.52	0.51	1.44	1.19	2.1	1.34	48.7	90.64	53.96	80.14	210.48	112.44	548.99	140.23	10518.6	11127.2	608.6	2	9
12449	8z8l_0	B	115	0	0	0	0	0	0	0	0	0	0	0	0	3	0.03	60	0.52	27	0.23	6.0	0.22	2.47	3.52	3.08	1.44	0.28	2.1	0.58	48.7	46.7	53.96	39.59	210.48	4.92	548.99	58.36	5629.4	6152.8	523.4	0	0
12450	8z8m_5	A	149	0	0	0	0	0	0	0	1	0	0	0	0	3	0.02	73	0.49	35	0.23	6.5	1.44	-1.54	2.22	-0.89	0.99	0.97	1.38	1.26	70.02	48.31	63.26	46.28	102.0	243.88	158.19	260.25	7770.9	8372.6	601.7	0	0
12451	8z8m_5	B	116	0	0	0	0	0	0	0	0	0	0	0	0	6	0.05	53	0.46	28	0.24	6.5	1.44	2.99	2.22	3.01	0.99	0.04	1.38	0.04	70.02	11.24	63.26	11.28	102.0	1.82	158.19	2.34	5520.6	6139.4	618.8	0	0
12452	8z8v_0	A	582	0	10	0	0	24	0	0	62	0	38	0	0	419	0.72	0	0.0	90	0.15	4.7	-10.26	-11.18	17.74	15.36	3.01	2.98	11.17	11.19	289.4	288.09	216.94	211.32	1257.9	1410.08	4711.21	4291.88	27835.3	28507.0	671.7	0	9
12453	8z8v_0	B	115	0	0	0	0	0	0	0	0	0	0	0	0	9	0.08	54	0.47	23	0.2	4.7	-10.26	1.0	17.74	2.46	3.01	0.02	11.17	0.97	289.4	15.95	216.94	17.42	1257.9	0.66	4711.21	38.3	5267.0	5882.7	615.7	0	0
12454	8zbe_0	A	618	0	16	0	0	0	0	0	13	295	0	0	0	162	0.26	165	0.27	148	0.24	7.5	-9.27	-9.87	-11.83	-11.97	4.46	3.33	3.2	2.34	360.47	224.35	380.64	226.47	2459.89	1228.9	1839.78	962.32	27079.1	28164.1	1085.0	0	6
12455	8zbe_0	B	233	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	84	0.36	53	0.23	7.5	-9.27	0.42	-11.83	0.04	4.46	0.91	3.2	0.81	360.47	82.37	380.64	81.01	2459.89	129.88	1839.78	124.18	10933.7	11875.6	941.9	0	0
12456	8zbi_0	A	433	0	0	0	0	0	0	0	0	0	0	0	0	61	0.14	171	0.39	100	0.23	7.5	-2.76	-3.35	-4.87	-5.0	3.91	2.84	2.72	2.02	268.94	173.91	284.41	180.62	1107.43	645.39	893.42	565.16	20200.9	21167.5	966.6	0	9
12457	8zbi_0	B	231	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	105	0.45	54	0.23	7.5	-2.76	0.44	-4.87	0.04	3.91	0.97	2.72	0.83	268.94	90.82	284.41	89.05	1107.43	168.85	893.42	158.11	11062.9	11930.0	867.1	0	0
12458	8zbj_0	A	515	0	0	0	0	0	0	0	0	0	0	0	0	111	0.22	187	0.36	116	0.23	7.5	-5.71	-6.69	-7.93	-8.43	3.72	2.68	2.66	1.76	432.08	288.29	448.15	292.9	1669.96	953.39	1119.63	774.75	26235.2	27215.8	980.6	0	12
12459	8zbj_0	B	229	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	98	0.43	59	0.26	7.5	-5.71	0.95	-7.93	0.55	3.72	0.7	2.66	0.55	432.08	70.85	448.15	69.48	1669.96	90.82	1119.63	89.36	11088.6	11973.1	884.5	0	11
